timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
31.93763,16394916167188076,5,0.2820303,1.247939,-0.1857204,359.2706,259.1072,359.2852
31.93763,16394916167188076,6,0.2917153,1.148684,-0.1734765,359.3564,281.53,358.9728
31.95022,16394916167307751,0,0.7682115,1.219482,-0.1805075,2.378336,265.7505,2.052352
31.95022,16394916167307751,2,0.4708167,1.156882,-0.4043888,335.9603,268.0267,19.52295
31.95022,16394916167307751,3,0.361945,1.268187,-0.1180573,333.4766,254.5589,356.6862
31.95022,16394916167307751,4,0.2794937,1.050005,-0.1949136,0.08994868,257.182,0.08992134
31.95022,16394916167307751,5,0.2807275,1.247924,-0.1874051,359.6919,259.071,359.6985
31.95022,16394916167307751,6,0.291026,1.148805,-0.1742611,359.5678,281.5043,359.4156
31.96316,16394916167437408,0,0.7686409,1.219532,-0.1800502,2.383561,265.8336,1.962143
31.96316,16394916167437408,2,0.4706343,1.156735,-0.4038385,335.9776,268.0001,19.72291
31.96316,16394916167437408,3,0.3588893,1.269449,-0.1222881,333.9545,255.0845,358.3598
31.97577,16394916167567059,0,0.7691688,1.219566,-0.1796975,2.415588,265.967,1.872286
31.97577,16394916167567059,2,0.4703417,1.156416,-0.4031019,336.0728,268.0713,19.83245
31.97577,16394916167567059,3,0.3548281,1.268694,-0.1278753,335.3554,254.8929,359.9748
31.97577,16394916167567059,4,0.2793659,1.049963,-0.1949404,0.2214549,257.1773,0.08613232
31.97577,16394916167567059,5,0.2794909,1.247788,-0.1887404,0.09941317,259.0495,0.134665
31.97577,16394916167567059,6,0.2903749,1.148822,-0.1748305,359.7873,281.5025,359.7323
31.98816,16394916167686745,0,0.7695997,1.219643,-0.179292,2.416341,266.0922,1.805264
31.98816,16394916167686745,2,0.470104,1.155957,-0.4022046,336.1948,268.2263,19.85447
31.98816,16394916167686745,3,0.3498285,1.266621,-0.1334443,337.6251,254.5976,1.18353
31.98816,16394916167686745,4,0.279262,1.049931,-0.1949426,0.3263634,257.1752,0.06579207
31.98816,16394916167686745,5,0.2783769,1.247687,-0.1896504,0.4435561,259.0518,0.3826926
31.98816,16394916167686745,6,0.2898013,1.148849,-0.1751924,359.9909,281.5,359.971
32.00025,16394916167806422,0,0.7700034,1.219799,-0.1789712,2.387443,266.2072,1.758803
32.00025,16394916167806422,2,0.4699621,1.155557,-0.4013753,336.2361,268.3819,19.81644
32.00025,16394916167806422,3,0.3448443,1.264135,-0.1393029,339.8648,254.0011,1.918517
32.01277,16394916167936076,0,0.770386,1.21999,-0.1787227,2.299882,266.3094,1.722695
32.01277,16394916167936076,2,0.46997,1.155148,-0.4007259,336.217,268.4701,19.78945
32.01277,16394916167936076,3,0.3403973,1.26171,-0.145111,341.7191,253.4161,2.97514
32.01277,16394916167936076,4,0.2791896,1.049911,-0.1949311,0.3988666,257.1752,0.042793
32.01277,16394916167936076,5,0.2774377,1.247631,-0.1900955,0.7183142,259.066,0.4878167
32.01277,16394916167936076,6,0.2893265,1.148877,-0.1753665,0.175065,281.5023,0.1120751
32.02533,16394916168055754,0,0.7708735,1.220262,-0.1784614,2.181549,266.3991,1.703721
32.02533,16394916168055754,2,0.4699782,1.154879,-0.4006453,336.2203,268.4417,19.78516
32.02533,16394916168055754,3,0.3365486,1.259515,-0.1501509,343.0779,253.1498,4.485681
32.03795,16394916168185408,0,0.7713526,1.220406,-0.1782504,2.069901,266.4606,1.724377
32.03795,16394916168185408,2,0.4701369,1.154575,-0.4006201,336.2364,268.3942,19.80686
32.03795,16394916168185408,3,0.3335496,1.257359,-0.1546801,344.0349,252.7892,6.171606
32.03795,16394916168185408,4,0.2791465,1.049902,-0.1949123,0.44152,257.1769,0.02201238
32.03795,16394916168185408,5,0.2767197,1.247602,-0.190093,0.9127186,259.0798,0.4690329
32.03795,16394916168185408,6,0.2889571,1.148888,-0.1753555,0.3310146,281.5006,0.1531487
32.05034,16394916168315062,0,0.7719263,1.220522,-0.1781148,2.013929,266.5252,1.768627
32.05034,16394916168315062,2,0.4702376,1.154057,-0.4003598,336.2673,268.3696,19.87772
32.05034,16394916168315062,3,0.3312194,1.255856,-0.1587086,344.8517,252.6125,8.167291
32.05034,16394916168315062,4,0.2791278,1.049904,-0.1948884,0.4597499,257.1801,0.004590808
32.05034,16394916168315062,5,0.2762655,1.247584,-0.1897058,1.0198,259.0635,0.3540573
32.05034,16394916168315062,6,0.2886803,1.148876,-0.1751432,0.4537878,281.474,0.09992974
32.06252,16394916168434741,0,0.7724605,1.22056,-0.1779895,1.982695,266.5698,1.810217
32.06252,16394916168434741,2,0.4703631,1.153306,-0.3999945,336.3654,268.3691,19.94403
32.06252,16394916168434741,3,0.3299802,1.256358,-0.1606295,344.7676,253.0303,9.76476
32.06252,16394916168434741,5,0.2889934,1.249663,-0.1826801,357.1107,257.8847,2.27633
32.07759,16394916168584338,0,0.7730508,1.22061,-0.177951,1.978667,266.633,1.823695
32.07759,16394916168584338,2,0.4707376,1.152275,-0.3994915,336.5453,268.5071,19.96549
32.07759,16394916168584338,3,0.3312958,1.261657,-0.1578625,342.6234,254.6095,9.780807
32.07759,16394916168584338,4,0.2788999,1.049921,-0.1946105,0.6754368,257.208,359.7856
32.07759,16394916168584338,5,0.3098143,1.254972,-0.1706028,350.1287,256.327,5.771089
32.07759,16394916168584338,6,0.287937,1.14792,-0.1741956,359.4718,281.5389,0.8830962
32.08982,16394916168704021,0,0.7735853,1.220843,-0.1780036,1.991272,266.7247,1.790228
32.08982,16394916168704021,2,0.4712432,1.151841,-0.3992201,336.5913,268.6837,19.89073
32.08982,16394916168704021,3,0.3338322,1.267875,-0.1544765,340.5679,256.0539,9.075121
32.08982,16394916168704021,4,0.2791108,1.049984,-0.1947196,0.4019322,257.1926,359.8806
32.08982,16394916168704021,5,0.3270403,1.26344,-0.1592064,343.435,255.9576,8.207738
32.08982,16394916168704021,6,0.287752,1.149281,-0.1733575,0.2056983,281.5788,0.00807431
32.10009,16394916168803757,0,0.7741473,1.22111,-0.1780147,1.927842,266.8267,1.744868
32.10009,16394916168803757,2,0.4717719,1.151547,-0.3990408,336.6013,268.874,19.77955
32.10009,16394916168803757,3,0.3376827,1.274117,-0.151288,338.9603,256.9875,8.479646
32.10009,16394916168803757,5,0.3359059,1.271896,-0.1526146,339.7339,256.7066,8.488086
